Country Code,Parent Code,Country,Continent,Region,Sub-Region,Population 2010,Estimate Population 2020
24,911,Angola,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,23356247,32866268
204,914,Benin,AFRICA,SUB-SAHARAN AFRICA,Western Africa,9199254,12123198
72,913,Botswana,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,1987106,2351625
854,914,Burkina Faso,AFRICA,SUB-SAHARAN AFRICA,Western Africa,15605211,20903278
108,910,Burundi,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,8675606,11890781
132,914,Cabo Verde,AFRICA,SUB-SAHARAN AFRICA,Western Africa,492644,555988
120,911,Cameroon,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,20341236,26545864
140,911,Central African Republic,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,4386765,4829764
148,911,Chad,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,11952134,16425859
178,911,Congo (Brazzaville),AFRICA,SUB-SAHARAN AFRICA,Middle Africa,4273738,5518092
180,911,Congo (Kinshasa),AFRICA,SUB-SAHARAN AFRICA,Middle Africa,64563853,89561404
384,914,Cote d'Ivoire,AFRICA,SUB-SAHARAN AFRICA,Western Africa,20532944,26378275
262,910,Djibouti,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,840194,988002
226,911,Equatorial Guinea,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,943640,1402985
232,910,Eritrea,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,3170437,3546427
748,913,Eswatini,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,1064841,1160164
231,910,Ethiopia,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,87639962,114963583
266,911,Gabon,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,1624146,2225728
270,914,Gambia,AFRICA,SUB-SAHARAN AFRICA,Western Africa,1793199,2416664
288,914,Ghana,AFRICA,SUB-SAHARAN AFRICA,Western Africa,24779614,31072945
324,914,Guinea,AFRICA,SUB-SAHARAN AFRICA,Western Africa,10192168,13132792
624,914,Guinea-Bissau,AFRICA,SUB-SAHARAN AFRICA,Western Africa,1522603,1967998
404,910,Kenya,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,42030684,53771300
430,914,Liberia,AFRICA,SUB-SAHARAN AFRICA,Western Africa,3891357,5057677
450,910,Madagascar,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,21151640,27691019
454,910,Malawi,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,14539609,19129955
466,914,Mali,AFRICA,SUB-SAHARAN AFRICA,Western Africa,15049352,20250834
478,914,Mauritania,AFRICA,SUB-SAHARAN AFRICA,Western Africa,3494200,4649660
480,910,Mauritius,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,1247953,1271767
508,910,Mozambique,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,23531567,31255435
516,913,Namibia,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,2118877,2540916
562,914,Niger,AFRICA,SUB-SAHARAN AFRICA,Western Africa,16464025,24206636
566,914,Nigeria,AFRICA,SUB-SAHARAN AFRICA,Western Africa,158503203,206139587
646,910,Rwanda,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,10039338,12952209
678,911,Sao Tome and Principe,AFRICA,SUB-SAHARAN AFRICA,Middle Africa,180372,219161
686,914,Senegal,AFRICA,SUB-SAHARAN AFRICA,Western Africa,12678143,16743930
690,910,Seychelles,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,91273,98340
694,914,Sierra Leone,AFRICA,SUB-SAHARAN AFRICA,Western Africa,6415636,7976985
706,910,Somalia,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,12043886,15893219
710,913,South Africa,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,51216967,59308690
728,910,South Sudan,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,9508372,11193729
834,910,Tanzania,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,44346532,59734213
768,914,Togo,AFRICA,SUB-SAHARAN AFRICA,Western Africa,6421674,8278737
800,910,Uganda,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,32428164,45741000
894,910,Zambia,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,13605986,18383956
716,910,Zimbabwe,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,12697728,14862927
426,913,Lesotho,AFRICA,SUB-SAHARAN AFRICA,Southern Africa,1995575,2142252
638,910,Reunion,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,830507,895308
174,910,Comoros,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,689696,869595
175,910,Mayotte,AFRICA,SUB-SAHARAN AFRICA,Eastern Africa,208716,272813
654,914,Saint Helena,AFRICA,SUB-SAHARAN AFRICA,Western Africa,5183,6071
12,912,Algeria,AFRICA,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,35977451,43851043
818,912,Egypt,AFRICA,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,82761244,102334403
434,912,Libya,AFRICA,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,6197667,6871287
504,912,Morocco,AFRICA,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,32343384,36910558
729,912,Sudan,AFRICA,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,34545014,43849269
788,912,Tunisia,AFRICA,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,10635245,11818618
28,915,Antigua and Barbuda,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,88030,97928
32,931,Argentina,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,40895751,45195777
44,915,Bahamas,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,354936,393248
52,915,Barbados,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,282131,287371
84,916,Belize,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,322465,397621
68,931,Bolivia,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,10048597,11673029
76,931,Brazil,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,195713637,212559409
124,918,Canada,AMERICA,NORTHERN AMERICA,NORTHERN AMERICA,34147566,37742157
152,931,Chile,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,17062531,19116209
170,931,Colombia,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,45222699,50882884
188,916,Costa Rica,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,4577371,5094114
192,915,Cuba,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,11225833,11326616
212,915,Dominica,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,70877,71991
214,915,Dominican Republic,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,9695117,10847904
218,931,Ecuador,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,15011114,17643060
222,916,El Salvador,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,6183877,6486201
308,915,Grenada,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,106227,112519
320,916,Guatemala,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,14630420,17915567
328,931,Guyana,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,749430,786559
332,915,Haiti,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,9949318,11402533
340,916,Honduras,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,8317467,9904608
388,915,Jamaica,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,2810464,2961161
484,916,Mexico,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,114092961,128932753
558,916,Nicaragua,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,5824058,6624554
591,916,Panama,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Central America,3642691,4314768
600,931,Paraguay,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,6248017,7132530
604,931,Peru,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,29027680,32971846
659,915,Saint Kitts and Nevis,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,49011,53192
662,915,Saint Lucia,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,174092,183629
670,915,Saint Vincent and the Grenadines,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,108260,110947
740,931,Suriname,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,529126,586634
780,915,Trinidad and Tobago,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,1328144,1399491
858,931,Uruguay,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,3359273,3473727
840,918,USA,AMERICA,NORTHERN AMERICA,NORTHERN AMERICA,309011469,331002647
862,931,Venezuela,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,28439942,28435943
630,915,Puerto Rico,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,3579842,2860840
312,915,Guadeloupe,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,406073,400127
474,915,Martinique,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,394666,375265
254,931,French Guiana,AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,232996,298682
531,915,Curacao,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,149188,164100
533,915,Aruba,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,101665,106766
850,915,United States Virgin Islands,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,106086,104423
136,915,Cayman Islands,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,56672,65720
60,918,Bermuda,AMERICA,NORTHERN AMERICA,NORTHERN AMERICA,65388,62273
304,918,Greenland,AMERICA,NORTHERN AMERICA,NORTHERN AMERICA,56638,56772
534,915,Sint Maarten (Dutch part),AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,34166,42882
796,915,Turks and Caicos Islands,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,32658,38718
663,915,Saint Martin (French part),AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,37582,38659
92,915,British Virgin Islands,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,27796,30237
535,915,Bonaire Sint Eustatius and Saba,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,20941,26221
660,915,Anguilla,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,13436,15002
652,915,Saint Barthelemy,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,9234,9885
666,918,Saint Pierre and Miquelon,AMERICA,NORTHERN AMERICA,NORTHERN AMERICA,6361,5795
500,915,Montserrat,AMERICA,LATIN AMERICA AND THE CARIBBEAN,Caribbean,4895,4999
238,931,Falkland Islands (Malvinas),AMERICA,LATIN AMERICA AND THE CARIBBEAN,South America,2902,3483
4,5501,Afghanistan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,29185511,38928341
50,5501,Bangladesh,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,147575433,164689383
64,5501,Bhutan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,685502,771612
96,920,Brunei,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,388634,437483
116,920,Cambodia,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,14312205,16718971
156,906,China,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,1368810604,1439323774
356,5501,India,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,1234281163,1380004385
360,920,Indonesia,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,241834226,273523621
364,5501,Iran,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,73762519,83992953
392,906,Japan,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,128542349,126476458
398,5500,Kazakhstan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,16252273,18776707
410,906,South Korea,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,49545638,51269183
417,5500,Kyrgyzstan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,5422298,6524191
418,920,Laos,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,6249168,7275556
458,920,Malaysia,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,28208028,32365998
462,5501,Maldives,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,365730,540542
496,906,Mongolia,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,2719902,3278292
524,5501,Nepal,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,27013207,29136808
586,5501,Pakistan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,179424643,220892331
608,920,Philippines,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,93966784,109581085
702,920,Singapore,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,5131170,5850343
144,5501,Sri Lanka,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,20261738,21413250
158,906,Taiwan,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,23187556,23816775
764,920,Thailand,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,67195032,69799978
626,920,Timor-Leste,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,1093517,1318442
860,5500,Uzbekistan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,28515908,33469199
704,920,Vietnam,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,87967655,97338583
104,920,Burma,ASIA,EASTERN AND SOUTH-EASTERN ASIA,South-Eastern Asia,50600827,54409794
408,906,North Korea,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,24548840,25778815
762,5500,Tajikistan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,7527397,9537642
344,906,Hong Kong,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,6966324,7496988
795,5500,Turkmenistan,ASIA,CENTRAL AND SOUTHERN ASIA,Central Asia,5087211,6031187
446,906,Macao,ASIA,EASTERN AND SOUTH-EASTERN ASIA,Eastern Asia,538215,649342
196,922,Cyprus,ASIA,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,1112617,1207361
8,925,Albania,EUROPE,EUROPE,Southern Europe,2948029,2877800
20,925,Andorra,EUROPE,EUROPE,Southern Europe,84454,77265
40,926,Austria,EUROPE,EUROPE,Western Europe,8409945,9006400
112,923,Belarus,EUROPE,EUROPE,Eastern Europe,9420576,9449321
56,926,Belgium,EUROPE,EUROPE,Western Europe,10938735,11589616
70,925,Bosnia and Herzegovina,EUROPE,EUROPE,Southern Europe,3705478,3280815
100,923,Bulgaria,EUROPE,EUROPE,Eastern Europe,7425011,6948445
191,925,Croatia,EUROPE,EUROPE,Southern Europe,4328163,4105268
203,923,Czechia,EUROPE,EUROPE,Eastern Europe,10536514,10708982
208,924,Denmark,EUROPE,EUROPE,Northern Europe,5554849,5792203
233,924,Estonia,EUROPE,EUROPE,Northern Europe,1332103,1326539
246,924,Finland,EUROPE,EUROPE,Northern Europe,5365784,5540718
250,926,France,EUROPE,EUROPE,Western Europe,62879535,65273512
276,926,Germany,EUROPE,EUROPE,Western Europe,80827001,83783945
300,925,Greece,EUROPE,EUROPE,Southern Europe,10887640,10423056
336,925,Holy See,EUROPE,EUROPE,Southern Europe,783,809
348,923,Hungary,EUROPE,EUROPE,Eastern Europe,9927380,9660350
352,924,Iceland,EUROPE,EUROPE,Northern Europe,320342,341250
372,924,Ireland,EUROPE,EUROPE,Northern Europe,4554330,4937796
380,925,Italy,EUROPE,EUROPE,Southern Europe,59325232,60461828
428,924,Latvia,EUROPE,EUROPE,Northern Europe,2118855,1886202
438,926,Liechtenstein,EUROPE,EUROPE,Western Europe,35996,38137
440,924,Lithuania,EUROPE,EUROPE,Northern Europe,3123825,2722291
442,926,Luxembourg,EUROPE,EUROPE,Western Europe,507890,625976
470,925,Malta,EUROPE,EUROPE,Southern Europe,414257,441539
498,923,Moldova,EUROPE,EUROPE,Eastern Europe,4086090,4033963
492,926,Monaco,EUROPE,EUROPE,Western Europe,35609,39244
499,925,Montenegro,EUROPE,EUROPE,Southern Europe,624279,628062
528,926,Netherlands,EUROPE,EUROPE,Western Europe,16682927,17134873
807,925,North Macedonia,EUROPE,EUROPE,Southern Europe,2070737,2083380
578,924,Norway,EUROPE,EUROPE,Northern Europe,4885878,5421242
616,923,Poland,EUROPE,EUROPE,Eastern Europe,38329784,37846605
620,925,Portugal,EUROPE,EUROPE,Southern Europe,10596055,10196707
642,923,Romania,EUROPE,EUROPE,Eastern Europe,20471860,19237682
643,923,Russia,EUROPE,EUROPE,Eastern Europe,143479273,145934460
674,925,San Marino,EUROPE,EUROPE,Southern Europe,31221,33938
688,925,Serbia,EUROPE,EUROPE,Southern Europe,8991258,8737370
703,923,Slovakia,EUROPE,EUROPE,Eastern Europe,5404293,5459643
705,925,Slovenia,EUROPE,EUROPE,Southern Europe,2043336,2078932
724,925,Spain,EUROPE,EUROPE,Southern Europe,46931011,46754783
752,924,Sweden,EUROPE,EUROPE,Northern Europe,9390157,10099270
756,926,Switzerland,EUROPE,EUROPE,Western Europe,7808674,8654618
804,923,Ukraine,EUROPE,EUROPE,Eastern Europe,45792086,43733759
826,924,UK,EUROPE,EUROPE,Northern Europe,63459801,67886004
830,924,Channel Islands,EUROPE,EUROPE,Northern Europe,159718,173859
833,924,Isle of Man,EUROPE,EUROPE,Northern Europe,84856,85032
234,924,Faroe Islands,EUROPE,EUROPE,Northern Europe,47803,48865
292,925,Gibraltar,EUROPE,EUROPE,Southern Europe,33585,33691
51,922,Armenia,EUROPE,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,2877314,2963234
31,922,Azerbaijan,EUROPE,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,9032465,10139175
268,922,Georgia,EUROPE,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,4099096,3989175
368,922,Iraq,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,29741977,40222503
376,922,Israel,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,7346446,8655541
400,922,Jordan,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,7261541,10203140
414,922,Kuwait,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,2991884,4270563
422,922,Lebanon,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,4953064,6825442
512,922,Oman,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,3041435,5106622
634,922,Qatar,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,1856329,2881060
682,922,Saudi Arabia,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,27421468,34813867
760,922,Syria,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,21362541,17500657
792,922,Turkey,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,72326992,84339067
784,922,United Arab Emirates,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,8549998,9890400
275,922,West Bank and Gaza,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,4055632,5101416
732,912,Western Sahara,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Northern Africa,480268,597330
887,922,Yemen,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,23154854,29825968
48,922,Bahrain,MIDDLE EAST,NORTHERN AFRICA AND WESTERN ASIA,Western Asia,1240864,1701583
36,927,Australia,OCEANIA,AUSTRALIA/NEW ZEALAND,AUSTRALIA/NEW ZEALAND,22154687,25499881
242,928,Fiji,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia,859816,896444
554,927,New Zealand,OCEANIA,AUSTRALIA/NEW ZEALAND,AUSTRALIA/NEW ZEALAND,4370060,4822233
598,928,Papua New Guinea,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia,7310512,8947027
90,928,Solomon Islands,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia,527861,686878
548,928,Vanuatu,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia,236216,307150
540,928,New Caledonia,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Melanesia,253529,285491
258,957,French Polynesia,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,266449,280904
882,957,Samoa,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,185944,198410
316,954,Guam,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,159439,168783
296,954,Kiribati,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,102930,119446
583,954,Micronesia (Fed. States of),OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,102916,115021
776,957,Tonga,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,103981,105697
584,954,Marshall Islands,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,56361,59194
580,954,Northern Mariana Islands,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,53971,57557
16,957,American Samoa,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,56084,55197
585,954,Palau,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,17954,18092
184,957,Cook Islands,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,18392,17564
798,957,Tuvalu,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,10521,11792
876,957,Wallis and Futuna Islands,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,12686,11246
520,954,Nauru,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),Micronesia,10009,10834
570,957,Niue,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,1622,1618
772,957,Tokelau,OCEANIA,OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND),American Samoa,1129,1350
